FA-000000043516750	FB-000002720191801
FA-000000046660916	FB-000004180514229
FA-000000042945878	FB-000002396666161
FA-000000042981401	FB-000004201563375
FA-000000042633915	FB-000002273768972
FA-000000042913582	FB-000002364430004
FA-000000043420378	FB-000002603545288
FA-000000043771064	FB-000002994453270
FA-000000046221337	FB-000003906227804
FA-000000042345309	FB-000002151510178
FA-000000042672884	FB-000002243908312
FA-000000042672884	FB-000002251260009
FA-000000042771783	FB-000002371460434
FA-000000043208456	FB-000002556029795
FA-000000042422374	FB-000002205926587
FA-000000043500030	FB-000002707482978
FA-000000043796677	FB-000002921992366
FA-000000043990202	FB-000002920860585
FA-000000043149818	FB-000002534427266
FA-000000042095291	FB-000002028524312
FA-000000044504641	FB-000003040809041
FA-000000042293489	FB-000002098564801
FA-000000043678109	FB-000002720147214
FA-000000043865474	FB-000002856074454
FA-000000042546680	FB-000002270043520
FA-000000042771662	FB-000002382796619
FA-000000043396662	FB-000002790742910
FA-000000045048659	FB-000004322268492
FA-000000039041502	FB-000004188578321
FA-000000047562015	FB-000004288493040
FA-000000042064924	FB-000001980683813
FA-000000042168371	FB-000002032336084
FA-000000039041503	FB-000004188578310
FA-000000039041503	FB-000004188578322
FA-000000043677735	FB-000002741438425
FA-000000045158480	FB-000003375221942
FA-000000044270768	FB-000003266377037
FA-000000045604760	FB-000004115940140
FA-000000043777347	FB-000002810856310
FA-000000045269702	FB-000004188578805
FA-000000046607048	FB-000004108517724
FA-000000046607048	FB-000004180514185
FA-000000042765722	FB-000002338342833
FA-000000042888376	FB-000002454076293
FA-000000046268378	FB-000004188578345
FA-000000046268378	FB-000004188578409
FA-000000042559201	FB-000002211395399
FA-000000042799834	FB-000002338342837
FA-000000042902460	FB-000002454076291
FA-000000043096271	FB-000002531151257
FA-000000045934470	FB-000004201563336
FA-000000045674669	FB-000004201563341
FA-000000043291894	FB-000002612757567
FA-000000044136350	FB-000002996860145
FA-000000045053443	FB-000004188578780
FA-000000044237154	FB-000004188578823
FA-000000044077705	FB-000002899059168
FA-000000042355681	FB-000002151403947
FA-000000043894889	FB-000002896417265
FA-000000042734178	FB-000002672875621
FA-000000046721082	FB-000004180514299
FA-000000043871201	FB-000002973537049
FA-000000045498863	FB-000003615219196
FA-000000045498863	FB-000003732453109
FA-000000042207879	FB-000002053151609
FA-000000042207876	FB-000002053151608
FA-000000042207876	FB-000002086500272
FA-000000042324969	FB-000002205926586
FA-000000043856411	FB-000002894438445
FA-000000046430442	FB-000004180514241
FA-000000046595706	FB-000004180514223
FA-000000044716277	FB-000003255058666
FA-000000045734267	FB-000004180514189
FA-000000043893908	FB-000003431103162
FA-000000045365669	FB-000004180514281
FA-000000045150110	FB-000004188578412
FA-000000045194596	FB-000004188578346
FA-000000045743052	FB-000003858078808
FA-000000044891849	FB-000003266377039
FA-000000043949113	FB-000002982820665
FA-000000045049761	FB-000004188579005
FA-000000042094940	FB-000002086500269
FA-000000047592718	FB-000004302847986
FA-000000043876114	FB-000002855595168
FA-000000044550603	FB-000003094146914
FA-000000042985303	FB-000002467631508
FA-000000042729793	FB-000002364429998
FA-000000042809931	FB-000002338342836
FA-000000042663130	FB-000002338342832
FA-000000042629455	FB-000002454076286
FA-000000042751350	FB-000002273768976
FA-000000042888377	FB-000002364430000
FA-000000044180258	FB-000003372655382
FA-000000043025774	FB-000004188578318
FA-000000042576498	FB-000002358407168
FA-000000043322346	FB-000002688114131
FA-000000043329223	FB-000002735575495
FA-000000045609956	FB-000004180514233
FA-000000045612194	FB-000004180514232
FA-000000043433730	FB-000002691887298
FA-000000045817389	FB-000003781654230
FA-000000043138055	FB-000003890170024
FA-000000046036776	FB-000003827524204
FA-000000043192553	FB-000004180514201
FA-000000044443703	FB-000004180514204
FA-000000045287782	FB-000004180514200
FA-000000042883338	FB-000002691887291
FA-000000045358837	FB-000004180514195
FA-000000045358837	FB-000004180514196
FA-000000046661599	FB-000004180514194
FA-000000042901949	FB-000002378077144
FA-000000042901949	FB-000002418240863
FA-000000043291902	FB-000002691054080
FA-000000042858308	FB-000002563536843
FA-000000042870581	FB-000002594623110
FA-000000042992076	FB-000002724979509
FA-000000042926881	FB-000002462191975
FA-000000044009918	FB-000002908052072
FA-000000044311612	FB-000003015271955
FA-000000043519568	FB-000002801788685
FA-000000043519568	FB-000003249297418
FA-000000043732358	FB-000002939523876
FA-000000043603839	FB-000002736414138
FA-000000044016699	FB-000002912719052
FA-000000043879294	FB-000004188578779
FA-000000044267107	FB-000002941958768
FA-000000044658558	FB-000003140349623
FA-000000045149852	FB-000003372655380
FA-000000045288292	FB-000003498922239
FA-000000043943515	FB-000002881230566
FA-000000044107646	FB-000002881230569
FA-000000044951383	FB-000003249034114
FA-000000043181193	FB-000002597929999
FA-000000043065736	FB-000002612757565
FA-000000044548050	FB-000004188578803
FA-000000044406713	FB-000002985654956
FA-000000045212676	FB-000004188578330
FA-000000043756449	FB-000002807537150
FA-000000042851686	FB-000002783042077
FA-000000044933474	FB-000004201568450
FA-000000046612214	FB-000003999404488
FA-000000044019209	FB-000002856074461
FA-000000044215830	FB-000002913150180
FA-000000044231377	FB-000002951822245
FA-000000044757331	FB-000003150974533
FA-000000045768666	FB-000003656808364
FA-000000044378308	FB-000002980607321
FA-000000044758820	FB-000003217395335
FA-000000043661722	FB-000002735796475
FA-000000043700162	FB-000002922371011
FA-000000044001031	FB-000002922371013
FA-000000043773452	FB-000002735796478
FA-000000044615394	FB-000004188578402
FA-000000044159389	FB-000004201568454
FA-000000045836226	FB-000004201568453
FA-000000043877685	FB-000002951822240
FA-000000044734341	FB-000003614542358
FA-000000043844660	FB-000002810856316
FA-000000046670741	FB-000004044336908
FA-000000046282272	FB-000004180514212
FA-000000046282272	FB-000004180514213
FA-000000046393410	FB-000004116779169
FA-000000044206754	FB-000002929326744
FA-000000045629327	FB-000004180514243
FA-000000046393635	FB-000004162435478
FA-000000046394785	FB-000004180514242
FA-000000044145798	FB-000004201568457
FA-000000044602944	FB-000003140349621
FA-000000044280862	FB-000002983193624
FA-000000044224094	FB-000002941958764
FA-000000047084213	FB-000004318044844
FA-000000043798872	FB-000004114980416
FA-000000043798872	FB-000004127905071
FA-000000043798872	FB-000004201563346
FA-000000043798872	FB-000004283384711
FA-000000044501401	FB-000004180514244
FA-000000044954210	FB-000004180514245
FA-000000044701729	FB-000003404251580
FA-000000043932266	FB-000003010128352
FA-000000045330793	FB-000004188578996
FA-000000041997805	FB-000004188578328
FA-000000043734632	FB-000003223613812
FA-000000043364948	FB-000003061939022
FA-000000046052494	FB-000004180514230
FA-000000042561039	FB-000004188578329
FA-000000044180824	FB-000004194966395
FA-000000046431286	FB-000003999404491
FA-000000046404363	FB-000004188578495
FA-000000044252663	FB-000003613710251
FA-000000046063128	FB-000003797231710
FA-000000046689482	FB-000004188578408
FA-000000045818348	FB-000004194966391
FA-000000045109907	FB-000003341387175
FA-000000045441099	FB-000004180514202
FA-000000045753178	FB-000004188578480
FA-000000046251333	FB-000004115940131
FA-000000046251333	FB-000004188578479
FA-000000045508210	FB-000004188578390
FA-000000045508210	FB-000004188578395
FA-000000045508210	FB-000004188578396
FA-000000045508210	FB-000004188578466
FA-000000045508210	FB-000004188578467
FA-000000045508210	FB-000004188578468
FA-000000045651868	FB-000004201568449
FA-000000045937011	FB-000004188579020
FA-000000044842399	FB-000004201563230
FA-000000045840278	FB-000004201563217
FA-000000041595865	FB-000004201563379
FA-000000045245563	FB-000004188578783
FA-000000045742805	FB-000004188579014
FA-000000045792640	FB-000004188578784
FA-000000046476325	FB-000004194966394
FA-000000045932404	FB-000003990536973
FA-000000045500409	FB-000004194966392
FA-000000045668073	FB-000004194966393
FA-000000047089347	FB-000004110039297
FA-000000045580393	FB-000003615788842
FA-000000045775768	FB-000003799790834
FA-000000047163598	FB-000004160326575
FA-000000046691662	FB-000004180514246
FA-000000045510990	FB-000004188578427
FA-000000045546357	FB-000004188578470
FA-000000044699839	FB-000004188578508
FA-000000045491474	FB-000004076704123
FA-000000045491476	FB-000004188578471
FA-000000045643563	FB-000004188578509
FA-000000046376343	FB-000004021985180
FA-000000046001938	FB-000004188579012
FA-000000045566785	FB-000004188579008
FA-000000044740308	FB-000004188579006
FA-000000046397972	FB-000003944974316
FA-000000043453156	FB-000003806093141
FA-000000046457071	FB-000004180514214
FA-000000046055256	FB-000004201563333
FA-000000046772284	FB-000003998973660
FA-000000046422661	FB-000004188579031
FA-000000045825987	FB-000004338538673
FA-000000046087271	FB-000004338538674
FA-000000047385729	FB-000004337878736
FA-000000047442731	FB-000004300767660
FA-000000047658511	FB-000004336730294
FA-000000045813259	FB-000004188578341
FA-000000044228983	FB-000004188578428
FA-000000045202237	FB-000004188578429
FA-000000045850688	FB-000004188578424
FA-000000045488995	FB-000004188578439
FA-000000045845674	FB-000004188578426
FA-000000046614867	FB-000003952867446
FA-000000043584562	FB-000002895663165
FA-000000044586798	FB-000003301867020
FA-000000044053348	FB-000002931935957
FA-000000044092479	FB-000003032449975
FA-000000043431116	FB-000002722733165
FA-000000043783966	FB-000002815577077
FA-000000043801394	FB-000002896765604
FA-000000042649794	FB-000002258849552
FA-000000044185966	FB-000002899059177
FA-000000043874742	FB-000002851576819
FA-000000044492831	FB-000003120297173
FA-000000043132185	FB-000002582176581
FA-000000044201816	FB-000002994474176
FA-000000043775601	FB-000002929326741
FA-000000042351198	FB-000002114593272
FA-000000043212236	FB-000002569522762
FA-000000043244122	FB-000002600550545
FA-000000045203112	FB-000003375221943
FA-000000042433134	FB-000002151523847
FA-000000043881512	FB-000002803764612
FA-000000044785387	FB-000003183402828
FA-000000045405305	FB-000003502080989
FA-000000046290481	FB-000003855632565
FA-000000043181359	FB-000002475707487
FA-000000042807541	FB-000002327264856
FA-000000042807541	FB-000002345064715
FA-000000045119224	FB-000003321230659
FA-000000043793748	FB-000003701103616
FA-000000046382425	FB-000004237806623
FA-000000045793128	FB-000004180514272
FA-000000043373562	FB-000004188578438
FA-000000045449840	FB-000004201563326
FA-000000044657163	FB-000003205666743
FA-000000042917862	FB-000002436580603
FA-000000044130980	FB-000003002315073
FA-000000045449190	FB-000004188578505
